species,concentration,media,light_source,temperature,day,area_mean,area_change,area_lfc
2,19.5,1,0,30.0,2.0,52921.30634696516,27062.660865726728,1.0332019681941365
2,19.5,1,0,30.0,3.0,106900.74036956752,53979.434022602356,1.0143512651881998
2,19.5,1,0,30.0,4.0,214763.78983883775,107863.04946927023,1.0064789239563794
2,19.5,1,0,30.0,5.0,297071.51459757367,82307.72475873592,0.4680595067721889
3,19.5,1,0,30.0,1.0,42370.13652018994,42370.13652018994,0.0
3,19.5,1,0,30.0,2.0,156837.20644638766,114467.06992619773,1.8881481678861327
3,19.5,1,0,30.0,3.0,290788.06001102383,133950.85356463617,0.8907001820736546
3,19.5,1,0,30.0,4.0,468043.0007118672,177254.94070084335,0.6866730489592214
3,19.5,1,0,30.0,5.0,638134.2125646246,170091.21185275743,0.4472188026971189
4,19.5,1,0,30.0,1.0,14289.010586077575,14289.010586077575,0.0
4,19.5,1,0,30.0,2.0,17881.421785457507,3592.4111993799324,0.3235554291132203
4,19.5,1,0,30.0,3.0,53860.5116506946,35979.089865237096,1.5907664823838257
4,19.5,1,0,30.0,4.0,102317.48393721475,48456.972286520155,0.9257528528548562
0,39.0,1,0,30.0,1.0,26463.729316289217,26463.729316289217,0.0
0,39.0,1,0,30.0,2.0,140130.0421816719,113666.31286538267,2.4046779970158205
0,39.0,1,0,30.0,3.0,205887.41614566062,65757.37396398874,0.5550893697862946
3,39.0,1,0,30.0,1.0,60213.859193804376,60213.859193804376,0.0
3,39.0,1,0,30.0,2.0,227673.83759953026,167459.97840572588,1.9188010284576826
3,39.0,1,0,30.0,3.0,486397.6061908153,258723.768591285,1.095167610186845
3,39.0,1,0,30.0,4.0,675212.5606593179,188814.9544685026,0.4732056135016123
3,39.0,1,0,30.0,5.0,5026.548245743669,-670186.0124135743,-7.069629897256721
4,39.0,1,0,30.0,1.0,23239.408056154894,23239.408056154894,0.0
4,39.0,1,0,30.0,2.0,163596.8666393617,140357.45858320678,2.815499890057696
4,39.0,1,0,30.0,3.0,306260.77782907896,142663.91118971727,0.9046154991647377
4,39.0,1,0,30.0,4.0,572062.5546689018,265801.7768398229,0.901412297535213
4,39.0,1,0,30.0,5.0,739433.5212827759,167370.96661387407,0.37024753436571345
0,20.0,2,0,30.0,1.0,43743.53610858428,43743.53610858428,0.0
0,20.0,2,0,30.0,2.0,171436.01297469423,127692.47686610994,1.9705284495216482
0,20.0,2,0,30.0,3.0,205887.41614566065,34451.40317096643,0.2641854517546669
2,20.0,2,0,30.0,1.0,10780.375190793377,10780.375190793377,0.0
2,20.0,2,0,30.0,2.0,25609.0852148189,14828.710024025524,1.248248329908069
2,20.0,2,0,30.0,3.0,52255.68140348582,26646.596188666917,1.0289321809288836
2,20.0,2,0,30.0,4.0,93927.7298561093,41672.04845262349,0.8459632409487838
2,20.0,2,0,30.0,5.0,126651.2134343701,32723.4835782608,0.43123785328875996
3,20.0,2,0,30.0,1.0,7993.25890828363,7993.25890828363,0.0
3,20.0,2,0,30.0,2.0,34542.59662438317,26549.33771609954,2.1115208115333797
3,20.0,2,0,30.0,3.0,125254.51370046166,90711.91707607848,1.8584141518083221
3,20.0,2,0,30.0,4.0,254944.17082962865,129689.657129167,1.0253187581988001
3,20.0,2,0,30.0,5.0,533243.4650448194,278299.29421519075,1.0646130284472122
4,20.0,2,0,30.0,1.0,9822.713030224086,9822.713030224086,0.0
4,20.0,2,0,30.0,2.0,19255.86857140304,9433.155541178954,0.9711047434140649
4,20.0,2,0,30.0,3.0,32523.86154506393,13267.99297366089,0.756200358168643
4,20.0,2,0,30.0,4.0,52946.30818849998,20422.446643436047,0.7030315340790185
4,20.0,2,0,30.0,5.0,160912.37571686925,107966.06752836928,1.603673290141522
