,area,concentration,date,dupl,medium,species
138,89727.02777917808,19.5,2018-06-23,1,PDA,P.ostreatus
139,49087.385212340516,19.5,2018-06-23,1,PDA,P.ostreatus
140,45996.05804120816,19.5,2018-06-23,1,PDA,P.ostreatus
141,114608.44159560924,19.5,2018-06-23,1,PDA,P.ostreatus
142,13273.228961416877,19.5,2018-06-23,1,PDA,P.ostreatus
143,57255.52611167398,19.5,2018-06-23,1,PDA,P.ostreatus
144,52279.24334838775,19.5,2018-06-23,1,PDA,P.ostreatus
145,30790.74959783356,19.5,2018-06-23,1,PDA,P.ostreatus
146,86569.72716232034,19.5,2018-06-23,2,PDA,P.ostreatus
147,43005.26183499068,19.5,2018-06-23,2,PDA,P.ostreatus
148,23235.21926595011,19.5,2018-06-23,2,PDA,P.ostreatus
149,58964.552515226824,19.5,2018-06-23,2,PDA,P.ostreatus
150,45996.05804120816,19.5,2018-06-23,2,PDA,P.ostreatus
151,41547.56284372501,19.5,2018-06-23,2,PDA,P.ostreatus
152,66051.9855417254,19.5,2018-06-23,2,PDA,P.ostreatus
153,28352.873698647883,19.5,2018-06-23,2,PDA,P.ostreatus
154,133316.62584773646,19.5,2018-06-23,1,PDA,S.commune
155,218956.44158459423,19.5,2018-06-23,1,PDA,S.commune
156,108686.53944359248,19.5,2018-06-23,1,PDA,S.commune
157,185507.90460182368,19.5,2018-06-23,2,PDA,S.commune
158,205887.41614566068,19.5,2018-06-23,2,PDA,S.commune
159,88668.31105491832,19.5,2018-06-23,2,PDA,S.commune
160,9160.884177867836,19.5,2018-06-23,1,PDA,S.commune.DSC3
161,9503.317777109125,19.5,2018-06-23,1,PDA,S.commune.DSC3
162,25446.900494077323,19.5,2018-06-23,1,PDA,S.commune.DSC3
163,12867.963509103793,19.5,2018-06-23,2,PDA,S.commune.DSC3
164,12468.981242097889,19.5,2018-06-23,2,PDA,S.commune.DSC3
165,16286.016316209487,19.5,2018-06-23,2,PDA,S.commune.DSC3
166,271546.7026056874,39,2018-06-23,1,PDA,S.commune
167,137227.90870145574,39,2018-06-23,1,PDA,S.commune
168,230721.70607228798,39,2018-06-23,1,PDA,S.commune
169,197923.47876881054,39,2018-06-23,2,PDA,S.commune
170,340049.1304172128,39,2018-06-23,2,PDA,S.commune
171,188574.09903172732,39,2018-06-23,2,PDA,S.commune
172,109858.35350338147,39,2018-06-23,1,PDA,S.commune.DSC3
173,187037.86022412192,39,2018-06-23,1,PDA,S.commune.DSC3
174,10568.317686676064,39,2018-06-23,1,PDA,S.commune.DSC3
175,201090.20416362907,39,2018-06-23,2,PDA,S.commune.DSC3
176,363168.11075498007,39,2018-06-23,2,PDA,S.commune.DSC3
177,109858.35350338147,39,2018-06-23,2,PDA,S.commune.DSC3
178,173494.45429449633,58.5,2018-06-23,1,PDA,S.commune
179,197923.47876881054,58.5,2018-06-23,1,PDA,S.commune
180,91863.31078361913,58.5,2018-06-23,1,PDA,S.commune
181,180955.73684677208,58.5,2018-06-23,2,PDA,S.commune
182,183984.23216483265,58.5,2018-06-23,2,PDA,S.commune
183,12867.963509103793,58.5,2018-06-23,2,PDA,S.commune
184,9503.317777109125,58.5,2018-06-23,1,PDA,S.commune.DSC3
185,4778.362426110075,58.5,2018-06-23,1,PDA,S.commune.DSC3
186,4071.5040790523717,58.5,2018-06-23,1,PDA,S.commune.DSC3
